operator,vehicle_id,Earliest,Latest,days
LimeBike,EJ3GBAENP7S77,2017-10-27T21:05:00Z,2017-10-28T20:06:00Z,0.959027777777778
LimeBike,EUQ2QNXNUIG4D,2018-01-21T22:25:00Z,2018-01-21T22:37:00Z,0.00833333333333333
LimeBike,EW3CGB4GJH5Y6,2018-05-25T12:10:00Z,2018-05-25T20:33:00Z,0.349305555555556
LimeBike,FDLNA3PCCY4N6,2017-10-28T03:01:00Z,2017-10-28T03:02:00Z,0.000694444444444444
LimeBike,FTQ56BJ23MARD,2017-10-17T22:28:00Z,2017-10-18T00:15:00Z,0.0743055555555556
LimeBike,FXJATIDWPJ6YJ,2018-01-12T21:23:00Z,2018-01-12T21:31:00Z,0.00555555555555556
LimeBike,FYWB57D36EWNQ,2017-09-23T20:27:00Z,2017-09-23T20:44:00Z,0.0118055555555556
LimeBike,G53TKNJMQM4JG,2017-10-27T21:26:00Z,2017-10-27T21:36:00Z,0.00694444444444444
LimeBike,G6RJPGYEIYQTF,2017-11-04T21:46:00Z,2017-11-05T17:03:00Z,0.803472222222222
LimeBike,GAX6YRSKGQEGQ,2018-03-04T20:49:00Z,2018-03-04T20:55:00Z,0.00416666666666667
LimeBike,GLRQL6XVWIJJ7,2018-03-22T20:50:00Z,2018-03-22T20:55:00Z,0.00347222222222222
LimeBike,GNFQZ6QZUWLFP,2017-12-02T17:46:00Z,2017-12-02T20:15:00Z,0.103472222222222
LimeBike,GNVBIPUFPKJR5,2018-02-15T18:55:00Z,2018-02-15T19:03:00Z,0.00555555555555556
LimeBike,GY3745XSUHZ7U,2017-12-20T13:49:00Z,2017-12-20T14:00:00Z,0.00763888888888889
LimeBike,HEE57HMG4WDQG,2017-12-05T13:12:00Z,2017-12-05T13:39:00Z,0.01875
LimeBike,HGTH7IZ3DUP6E,2018-01-22T12:53:00Z,2018-01-22T12:56:00Z,0.00208333333333333
LimeBike,HMIOTPN6PR4HN,2018-03-12T15:25:00Z,2018-03-13T03:04:00Z,0.485416666666667
LimeBike,HQRPCVLXILL7E,2017-10-27T23:23:00Z,2017-10-28T15:38:00Z,0.677083333333333
LimeBike,HSG7QUDO6HBSE,2017-12-07T19:47:00Z,2017-12-07T20:24:00Z,0.0256944444444444
LimeBike,IJDCRV2ZSQB4N,2017-12-30T16:31:00Z,2017-12-30T16:32:00Z,0.000694444444444444
LimeBike,IKHAZLYPOE3L7,2017-11-08T17:02:00Z,2017-11-08T19:32:00Z,0.104166666666667
LimeBike,J7BRG4V47Y5JN,2017-12-05T17:50:00Z,2017-12-05T18:41:00Z,0.0354166666666667
LimeBike,JD262XWWFKZ3R,2017-12-07T00:41:00Z,2017-12-07T00:47:00Z,0.00416666666666667
LimeBike,JIXLCV2LWWECH,2018-03-19T13:41:00Z,2018-03-19T22:05:00Z,0.35
LimeBike,JLIYXXAEUBJIJ,2017-12-06T19:10:00Z,2017-12-07T18:47:00Z,0.984027777777778
LimeBike,JWHYFY5YH6XYT,2017-09-24T00:56:00Z,2017-09-24T16:13:00Z,0.636805555555556
LimeBike,K5FXWV7NOWIPF,2017-12-17T00:51:00Z,2017-12-17T01:20:00Z,0.0201388888888889
LimeBike,K6YKSQJHNJSXL,2017-10-12T15:24:00Z,2017-10-12T18:56:00Z,0.147222222222222
LimeBike,K7ZHVRA76GSRD,2017-12-23T16:25:00Z,2017-12-23T17:05:00Z,0.0277777777777778
LimeBike,KBTCHAVHDGEF7,2018-04-13T01:26:00Z,2018-04-13T01:34:00Z,0.00555555555555556
LimeBike,KIFRSEFF647PE,2017-11-08T18:40:00Z,2017-11-08T19:43:00Z,0.04375
LimeBike,KUKPO636NSQNH,2018-05-28T12:43:00Z,2018-05-28T19:09:00Z,0.268055555555556
LimeBike,KZRHK54SSFGN6,2017-12-12T15:23:00Z,2017-12-12T15:30:00Z,0.00486111111111111
LimeBike,LILVZ2VHPXTBH,2018-05-23T11:14:00Z,2018-05-23T22:39:00Z,0.475694444444444
LimeBike,LRU7RORPL2TR6,2018-01-05T18:33:00Z,2018-01-05T18:48:00Z,0.0104166666666667
LimeBike,LUTFF44ESFXVS,2018-04-27T11:50:00Z,2018-04-27T16:47:00Z,0.20625
LimeBike,M3D62K3XQI7OZ,2017-10-27T14:13:00Z,2017-10-27T14:55:00Z,0.0291666666666667
LimeBike,M4RGK3LLSO6YQ,2017-12-18T18:12:00Z,2017-12-18T18:25:00Z,0.00902777777777778
LimeBike,MBNQHWOZJSDTU,2018-01-20T17:40:00Z,2018-01-20T19:45:00Z,0.0868055555555556
LimeBike,MBO3SF3IW5BQF,2018-03-23T11:38:00Z,2018-03-23T11:43:00Z,0.00347222222222222
LimeBike,MDMIMQM37WDUX,2018-05-20T13:08:00Z,2018-05-20T22:16:00Z,0.380555555555556
LimeBike,MKCJMCDYD373K,2018-04-28T06:23:00Z,2018-04-28T21:49:00Z,0.643055555555556
LimeBike,MRE47Y46VQLE5,2017-12-11T07:14:00Z,2017-12-11T07:34:00Z,0.0138888888888889
LimeBike,MSFD7LH7J4PL4,2017-10-28T17:54:00Z,2017-10-29T00:55:00Z,0.292361111111111
LimeBike,MTZ6PSNBUBYV7,2017-12-12T12:49:00Z,2017-12-13T10:30:00Z,0.903472222222222
LimeBike,MVVVFQQVH53HO,2018-05-30T13:23:00Z,2018-05-30T23:34:00Z,0.424305555555556
LimeBike,N32KSEZN2DSKP,2017-12-03T00:28:00Z,2017-12-03T00:46:00Z,0.0125
LimeBike,NGB7NXVNWDONQ,2018-05-22T19:51:00Z,2018-05-22T22:37:00Z,0.115277777777778
LimeBike,NL5MY77WGG7IV,2017-12-08T16:38:00Z,2017-12-08T20:51:00Z,0.175694444444444
